Fecha Publicación,OP,Entidad,Dispositivo,Número,Sumilla,Link,Fecha Corte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367167-1,ORGANISMO SUPERVISOR DE LA INVERSIÓN EN ENERGÍA Y MINERÍA,RESOLUCION,N° 008-2025-OS/CD,Resolución de Consejo Directivo que aprueba el Saldo de la Cuenta de Promoción los factores de reajuste tarifario y el valor de la alícuota aplicables a la Tarifa Única de Distribución de la concesión de distribución de gas natural por red de ductos de Lima y Callao,https://busquedas.elperuano.pe/dispositivo/NL/2367167-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367168-1,ORGANISMO SUPERVISOR DE LA INVERSIÓN EN ENERGÍA Y MINERÍA,RESOLUCION,N° 009-2025-OS/CD,Resolución de Consejo Directivo mediante la cual se aprueba el Saldo de la Cuenta de Promoción los Factores de Ajuste Tarifario y el valor de la Alícuota aplicables a la Tarifa de Distribución de gas natural por red de ductos de la concesión de Ica,https://busquedas.elperuano.pe/dispositivo/NL/2367168-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366600-1,ORGANISMO SUPERVISOR DE INVERSION PRIVADA EN TELECOMUNICACIONES,RESOLUCION,N° 00010-2025-PE/OSIPTEL,Delegan funciones y atribuciones en diversos funcionarios de OSIPTEL,https://busquedas.elperuano.pe/dispositivo/NL/2366600-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366603-1,ORGANISMO SUPERVISOR DE INVERSION PRIVADA EN TELECOMUNICACIONES,RESOLUCION,N° 00008-2025-CD/OSIPTEL,Revocan la Resolución N° 00045-2022-CD/OSIPTEL que confirmó la Resolución Nº 376-2021-GG/OSIPTEL y modifican multa,https://busquedas.elperuano.pe/dispositivo/NL/2366603-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366823-1,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,RESOLUCION,N° 025-2025-ATU/PE,Autorizan transferencia financiera correspondiente a la duodécima liquidación - 2024 a favor de municipalidades de la provincia de Lima con las cuales se celebraron convenios de cooperación para la fiscalización del servicio público de transporte terrestre de personas,https://busquedas.elperuano.pe/dispositivo/NL/2366823-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367582-1,ORGANISMO DE EVALUACION Y FISCALIZACION AMBIENTAL,RESOLUCION,N° 00013-2025-OEFA/GEG,Delegan facultades en materia administrativa en el/la Jefe/a de la Unidad de Gestión de Recursos Humanos de la Oficina de Administración del Organismo de Evaluación y Fiscalización Ambiental - OEFA durante el Año Fiscal 2025,https://busquedas.elperuano.pe/dispositivo/NL/2367582-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366863-1,SERVICIO NACIONAL DE AREAS NATURALES PROTEGIDAS POR EL ESTADO,RESOLUCION,N° 000004-2025-SERNANP/SHMPI-SGD,Aprueban la implementación de tarifas promocionales para el ingreso al Santuario Histórico de Machupicchu por el periodo comprendido desde 1 de enero hasta el 31 de diciembre del 2026,https://busquedas.elperuano.pe/dispositivo/NL/2366863-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366434-1,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACIÓN TRIBUTARIA,RESOLUCION,N° 000015-2025/SUNAT,Resolución de Superintendencia que aprueba nueva versión del PDT Planilla Electrónica - PLAME Formulario Virtual N° 0601,https://busquedas.elperuano.pe/dispositivo/NL/2366434-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367048-1,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACIÓN TRIBUTARIA,RESOLUCION,N° 000016-2025/SUNAT,Aprueban nueva versión del Programa de Declaración Telemática del Impuesto Selectivo al Consumo - Formulario Virtual N° 615,https://busquedas.elperuano.pe/dispositivo/NL/2367048-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367475-1,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACIÓN TRIBUTARIA,RESOLUCION,N° 000003-2025-SUNAT/700000,Amplían aplicación de la facultad discrecional en la administración de sanciones por infracciones relacionadas a libros y registros vinculados a asuntos tributarios llevados de manera electrónica dispuesta en la Res. N° 000039-2023-SUNAT/700000 y ampliatorias,https://busquedas.elperuano.pe/dispositivo/NL/2367475-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
