Fecha Publicaci¢n,OP,Entidad,Dispositivo,N£mero,Sumilla,Link,Fecha Corte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358538-1,COMISION NACIONAL PARA EL DESARROLLO Y VIDA SIN DROGAS,RESOLUCION,N¯ 000222-2024-DV-PE,Delegan diversas facultades en la Gerencia General la Oficina General de Administraci¢n la Unidad de Abastecimiento la Unidad de Recursos Humanos la Direcci¢n de Articulaci¢n Territorial y en Oficinas Zonales de DEVIDA,https://busquedas.elperuano.pe/dispositivo/NL/2358538-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358405-1,INSTITUTO NACIONAL DE DEFENSA CIVIL,RESOLUCION JEFATURAL,N¯ 000211-2024-INDECI/JEF INDECI,Delegan facultades y atribuciones en diversos funcionarios del INDECI para el A§o Fiscal 2025,https://busquedas.elperuano.pe/dispositivo/NL/2358405-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358064-1,ORGANISMO SUPERVISOR DE LA INVERSI‡N EN ENERG÷A Y MINER÷A,RESOLUCION,N¯ 122-2024-OS/PRES,Disponen la publicaci¢n para comentarios del proyecto de Resoluci¢n de Consejo Directivo que implementa el art°culo £nico de la Ley N¯ 32032 Ley que modifica la Ley N¯ 29571 C¢digo de Protecci¢n y Defensa del Consumidor a fin de simplificar el procedimiento para la solicitud de suspensi¢n cancelaci¢n o baja de servicios p£blicos en los servicios p£blicos de electricidad y gas natural,https://busquedas.elperuano.pe/dispositivo/NL/2358064-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2357546-1,ORGANISMO SUPERVISOR DE INVERSION PRIVADA EN TELECOMUNICACIONES,RESOLUCION,N¯ 00093-2024-PE/OSIPTEL,Aprueban la Directiva denominada Medidas de Austeridad Disciplina y Calidad en el Gasto P£blico del Organismo Supervisor de Inversi¢n Privada en Telecomunicaciones ? OSIPTEL para el Ejercicio Fiscal 2025,https://busquedas.elperuano.pe/dispositivo/NL/2357546-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358202-1,AGENCIA DE PROMOCI‡N DE LA INVERSI‡N PRIVADA,RESOLUCION,N¯ 123-2024,Aprueban el Plan Operativo Institucional Anual - POI 2025 Consistente con el Presupuesto Institucional de Apertura correspondiente al A§o Fiscal 2025 de PROINVERSI‡N,https://busquedas.elperuano.pe/dispositivo/NL/2358202-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358335-1,AGENCIA DE PROMOCI‡N DE LA INVERSI‡N PRIVADA,RESOLUCION,N¯ 226-2024,Aprueban la formalizaci¢n y compendio anual de las actualizaciones del Cuadro para Asignaci¢n de Personal Provisional ? CAP Provisional de la Agencia de Promoci¢n de la Inversi¢n Privada ? PROINVERSI‡N,https://busquedas.elperuano.pe/dispositivo/NL/2358335-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358372-1,AGENCIA DE PROMOCI‡N DE LA INVERSI‡N PRIVADA,RESOLUCION,N¯ 227-2024,Formalizan y aprueban el Compendio del Manual de Clasificador de Cargos de PROINVERSI‡N aprobado mediante Resoluci¢n de la Secretar°a General N¯ 277-2023 que consolida modificaciones realizadas a dicho documento a travÇs de diversas resoluciones,https://busquedas.elperuano.pe/dispositivo/NL/2358372-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358551-1,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,RESOLUCION,N¯ 284-2024-ATU/PE,Delegan facultades y atribuciones en diversos funcionarios de la Autoridad de Transporte Urbano para Lima y Callao - ATU durante el A§o Fiscal 2025,https://busquedas.elperuano.pe/dispositivo/NL/2358551-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358043-1,INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA,RESOLUCION,N¯ 0096-2024-IIAP-PE,Modifican el Presupuesto Institucional del Pliego 055 Instituto de Investigaciones de la Amazonia Peruana ? IIAP para el A§o Fiscal 2024,https://busquedas.elperuano.pe/dispositivo/NL/2358043-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,2358429-1,INSTITUTO NACIONAL DE DEFENSA DE LA COMPETENCIA Y DE LA PROTECCION DE LA PROPIEDAD INTELECTUAL,RESOLUCION,N¯ 000166-2024-PRE/INDECOPI,Aprueban Plan Operativo Institucional (POI) Anual 2025 Consistenciado del INDECOPI,https://busquedas.elperuano.pe/dispositivo/NL/2358429-1,31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
